sample_accession	study_accession	bam	url	run_accession
SRS3669091	SRP157927	M1Fovea5.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692547/M1Fovea5.bam.1	SRR7692547
SRS3669096	SRP157927	M2Fovea3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692553/M2Fovea3.bam.1	SRR7692553
SRS3669100	SRP157927	M2Fovea7.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692557/M2Fovea7.bam.1	SRR7692557
SRS3674984	SRP158081	P8_rep1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7699781/P8_rep1.bam.1	SRR7699781
SRS3698222	SRP158528	MacaqueCD73DP2S2.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733534/MacaqueCD73DP2S2.bam.1	SRR7733534
SRS3669086	SRP157927	M1Fovea1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692543/M1Fovea1.bam.1	SRR7692543
SRS3674988	SRP158081	E18_rep3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7699776/E18_rep3.bam.1	SRR7699776
SRS3698223	SRP158528	MacaqueCD73DP2S1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733533/MacaqueCD73DP2S1.bam.1	SRR7733533
SRS3698224	SRP158528	MacaqueCD90S1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733535/MacaqueCD90S1.bam.1	SRR7733535
SRS3698227	SRP158528	MacaqueCD90_S4.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733538/MacaqueCD90_S4.bam.1	SRR7733538
SRS3669107	SRP157927	M3Fovea3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692561/M3Fovea3.bam.1	SRR7692561
SRS3674977	SRP158081	E18_rep2.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7699775/E18_rep2.bam.1	SRR7699775
SRS3698218	SRP158528	MacaqueCD73dpS1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733529/MacaqueCD73dpS1.bam.1	SRR7733529
SRS3698219	SRP158528	MacaqueCD73dpS3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733531/MacaqueCD73dpS3.bam.1	SRR7733531
SRS3669090	SRP157927	M1Fovea7.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692549/M1Fovea7.bam.1	SRR7692549
SRS3674976	SRP158081	E14_rep2.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7699773/E14_rep2.bam.1	SRR7699773
SRS3674981	SRP158081	P2_rep3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7699779/P2_rep3.bam.1	SRR7699779
SRS3698228	SRP158528	MacaqueCD90S5.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733539/MacaqueCD90S5.bam.1	SRR7733539
SRS3698231	SRP158528	MacaqueCD90S9.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733543/MacaqueCD90S9.bam.1	SRR7733543
SRS3669089	SRP157927	M1Fovea4.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692546/M1Fovea4.bam.1	SRR7692546
SRS3669098	SRP157927	M2Fovea5.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692555/M2Fovea5.bam.1	SRR7692555
SRS3669101	SRP157927	M2Fovea8.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7692558/M2Fovea8.bam.1	SRR7692558
SRS3698233	SRP158528	MacaquePeripheryMixedS1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733544/MacaquePeripheryMixedS1.bam.1	SRR7733544
SRS3698215	SRP157927	M4Fovea3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR7733528/M4Fovea3.bam.1	SRR7733528
SRS4363762	SRP158081	Nfia_b_x_het_rep1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR8573765/Nfia_b_x_het_rep1.bam.1	SRR8573765
SRS4363765	SRP158081	Nfia_b_x_tCKO_rep3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR8573768/Nfia_b_x_tCKO_rep3.bam.1	SRR8573768
SRS5434853	SRP223254	Hgw9_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRZ/010182/SRR10182336/Hgw9_retina.bam	SRR10182336
SRS5434854	SRP223254	Hgw11_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRZ/010182/SRR10182337/Hgw11_retina.bam	SRR10182337
SRS5434855	SRP223254	Hgw13_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRZ/010182/SRR10182338/Hgw13_retina.bam	SRR10182338
SRS5434856	SRP223254	Hgw15_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra10/SRZ/010182/SRR10182339/Hgw15_retina.bam	SRR10182339
SRS5434857	SRP223254	Hgw17_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra10/SRZ/010182/SRR10182340/Hgw17_retina.bam	SRR10182340
SRS5434858	SRP223254	Hgw19_rep1_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRZ/010182/SRR10182341/Hgw19_rep1_retina.bam	SRR10182341
SRS5434859	SRP223254	Hgw19_rep2_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRZ/010182/SRR10182342/Hgw19_rep2_retina.bam	SRR10182342
SRS5434860	SRP223254	Adult_retina.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRZ/010182/SRR10182343/Adult_retina.bam	SRR10182343
SRS5434850	SRP223254	30_Day_Organoid.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRZ/010182/SRR10182333/30_Day_Organoid.bam	SRR10182333
SRS5434849	SRP223254	24_Day_Organoid.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRZ/010182/SRR10182332/24_Day_Organoid.bam	SRR10182332
SRS5434851	SRP223254	42_Day_Organoid.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRZ/010182/SRR10182334/42_Day_Organoid.bam	SRR10182334
SRS5434852	SRP223254	59_Day_Organoid.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRZ/010182/SRR10182335/59_Day_Organoid.bam	SRR10182335
SRX5975001	SRP200499	JH21_WT_retina_scRNAseq_R1_possorted_genome_bam.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR9203789/JH21_WT_retina_scRNAseq_R1_possorted_genome_bam.bam.1	SRR9203789
SRX5975003	SRP200499	JH31_WT_retina_scRNAseq_R2_possorted_genome_bam.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR9203791/JH31_WT_retina_scRNAseq_R2_possorted_genome_bam.bam.1	SRR9203791
