sample_accession	run_accession	library_layout
SRS3675068	SRR7699864	PAIRED
SRS3675070	SRR7699867	PAIRED
SRS3675071	SRR7699869	PAIRED
SRS3675077	SRR7699873	PAIRED
SRS3675080	SRR7699876	PAIRED
SRS3675154	SRR7699877	PAIRED
SRS3675175	SRR7699895	PAIRED
SRS3675099	SRR7699897	PAIRED
SRS3675109	SRR7699906	PAIRED
SRS3675110	SRR7699908	PAIRED
SRS3675124	SRR7699922	PAIRED
SRS3675136	SRR7699934	PAIRED
SRS3675138	SRR7699936	PAIRED
SRS3675146	SRR7699942	PAIRED
SRS3675159	SRR7699955	PAIRED
SRS3675160	SRR7699956	PAIRED
SRS3675191	SRR7699986	PAIRED
SRS3675195	SRR7699991	PAIRED
SRS3675206	SRR7700002	PAIRED
SRS3675216	SRR7700011	PAIRED
SRS3675221	SRR7700013	PAIRED
SRS3675219	SRR7700015	PAIRED
SRS3675232	SRR7700028	PAIRED
SRS3675237	SRR7700032	PAIRED
SRS3675245	SRR7700038	PAIRED
SRS3675249	SRR7700041	PAIRED
SRS3675270	SRR7700063	PAIRED
SRS3675273	SRR7700068	PAIRED
SRS3675284	SRR7700079	PAIRED
SRS3675285	SRR7700080	PAIRED
SRS3675457	SRR7700082	PAIRED
SRS3675304	SRR7700099	PAIRED
SRS3675319	SRR7700115	PAIRED
SRS3675317	SRR7700116	PAIRED
SRS3675333	SRR7700130	PAIRED
SRS3675356	SRR7700154	PAIRED
SRS3675359	SRR7700155	PAIRED
SRS3675378	SRR7700175	PAIRED
SRS3675382	SRR7700180	PAIRED
SRS3675385	SRR7700182	PAIRED
SRS3675386	SRR7700183	PAIRED
SRS3675448	SRR7700244	PAIRED
SRS3675473	SRR7700268	PAIRED
SRS3675477	SRR7700271	PAIRED
SRS3675491	SRR7700286	PAIRED
SRS3675499	SRR7700294	PAIRED
SRS3675501	SRR7700297	PAIRED
SRS3675521	SRR7700318	PAIRED
SRS3675540	SRR7700336	PAIRED
SRS3675545	SRR7700343	PAIRED
SRS3675552	SRR7700348	PAIRED
SRS3675554	SRR7700351	PAIRED
SRS3675577	SRR7700374	PAIRED
SRS3675581	SRR7700380	PAIRED
SRS3675593	SRR7700392	PAIRED
SRS3675596	SRR7700395	PAIRED
SRS3675598	SRR7700397	PAIRED
SRS3675601	SRR7700399	PAIRED
SRS3675604	SRR7700404	PAIRED
SRS3675609	SRR7700408	PAIRED
SRS3675636	SRR7700436	PAIRED
SRS3675643	SRR7700442	PAIRED
SRS3675645	SRR7700444	PAIRED
SRS3675657	SRR7700454	PAIRED
SRS3675664	SRR7700463	PAIRED
SRS3675667	SRR7700466	PAIRED
SRS3675666	SRR7700467	PAIRED
SRS3675670	SRR7700469	PAIRED
SRS3675690	SRR7700489	PAIRED
SRS3675691	SRR7700490	PAIRED
SRS3675712	SRR7700510	PAIRED
SRS3675714	SRR7700512	PAIRED
SRS3675716	SRR7700515	PAIRED
SRS3675726	SRR7700524	PAIRED
SRS3675733	SRR7700533	PAIRED
SRS3675741	SRR7700537	PAIRED
SRS3675756	SRR7700553	PAIRED
SRS3675764	SRR7700564	PAIRED
SRS3675765	SRR7700567	PAIRED
SRS3675770	SRR7700568	PAIRED
SRS3675773	SRR7700572	PAIRED
SRS3675783	SRR7700580	PAIRED
SRS3675786	SRR7700582	PAIRED
SRS3675802	SRR7700602	PAIRED
SRS3675820	SRR7700617	PAIRED
SRS3675818	SRR7700618	PAIRED
SRS3675826	SRR7700624	PAIRED
SRS3675836	SRR7700631	PAIRED
SRS3675841	SRR7700641	PAIRED
SRS3675846	SRR7700643	PAIRED
SRS3698228	SRR7733539	PAIRED
SRS3698217	SRR7733527	PAIRED
SRS3729713	SRR7773399	SINGLE
SRS3729733	SRR7773419	SINGLE
SRS3729737	SRR7773423	SINGLE
SRS3731634	SRR7775492	SINGLE
SRS3731643	SRR7775501	SINGLE
SRS3731649	SRR7775507	SINGLE
SRS3731699	SRR7775557	SINGLE
SRS3731701	SRR7775559	SINGLE
SRS3731706	SRR7775564	SINGLE
SRS3731713	SRR7775571	SINGLE
SRS3731724	SRR7775583	SINGLE
SRS3731735	SRR7775593	SINGLE
SRS3731785	SRR7775642	SINGLE
SRS3731801	SRR7775659	SINGLE
SRS3731802	SRR7775660	SINGLE
SRS3731806	SRR7775665	SINGLE
SRS3731812	SRR7775670	SINGLE
SRS3731821	SRR7775679	SINGLE
SRS3731840	SRR7775698	SINGLE
SRS3731881	SRR7775739	SINGLE
SRS3731912	SRR7775770	SINGLE
SRS3731920	SRR7775779	SINGLE
SRS3731927	SRR7775784	SINGLE
SRS3731949	SRR7775808	SINGLE
SRS3731952	SRR7775811	SINGLE
SRS3731957	SRR7775817	SINGLE
SRS3731966	SRR7775825	SINGLE
SRS3731979	SRR7775838	SINGLE
SRS3731983	SRR7775842	SINGLE
SRS3731985	SRR7775844	SINGLE
SRS3731989	SRR7775848	SINGLE
SRS3731994	SRR7775853	SINGLE
SRS3731998	SRR7775857	SINGLE
SRS3732003	SRR7775862	SINGLE
SRS3732010	SRR7775868	SINGLE
SRS3732014	SRR7775874	SINGLE
SRS3732019	SRR7775880	SINGLE
SRS3732042	SRR7775902	SINGLE
SRS3732065	SRR7775926	SINGLE
SRS3732068	SRR7775928	SINGLE
SRS3732071	SRR7775932	SINGLE
SRS3732090	SRR7775948	SINGLE
SRS3732101	SRR7775958	SINGLE
SRS3732100	SRR7775959	SINGLE
SRS3732110	SRR7775966	SINGLE
SRS3732120	SRR7775978	SINGLE
SRS3732151	SRR7776004	SINGLE
SRS3732153	SRR7776008	SINGLE
SRS3732146	SRR7776011	SINGLE
SRS3732159	SRR7776017	SINGLE
SRS3732166	SRR7776025	SINGLE
SRS3732179	SRR7776038	SINGLE
SRS3732181	SRR7776040	SINGLE
SRS3732183	SRR7776042	SINGLE
SRS3732190	SRR7776050	SINGLE
SRS3732202	SRR7776061	SINGLE
SRS3732230	SRR7776089	SINGLE
SRS3732250	SRR7776109	SINGLE
SRS3732268	SRR7776128	SINGLE
SRS3732269	SRR7776129	SINGLE
SRS3732286	SRR7776147	SINGLE
SRS3732297	SRR7776155	SINGLE
SRS3732296	SRR7776156	SINGLE
SRS3732312	SRR7776173	SINGLE
SRS3732328	SRR7776188	SINGLE
SRS3732336	SRR7776195	SINGLE
SRS3732365	SRR7776225	SINGLE
SRS3732375	SRR7776235	SINGLE
SRS3732377	SRR7776236	SINGLE
SRS3732389	SRR7776247	SINGLE
SRS3732390	SRR7776248	SINGLE
SRS3732391	SRR7776249	SINGLE
SRS3732401	SRR7776259	SINGLE
SRS3732405	SRR7776263	SINGLE
SRS3732407	SRR7776265	SINGLE
SRS3732418	SRR7776276	SINGLE
SRS3732451	SRR7776308	SINGLE
SRS3732453	SRR7776311	SINGLE
SRS3732457	SRR7776315	SINGLE
SRS3732464	SRR7776322	SINGLE
SRS3732469	SRR7776327	SINGLE
SRS3732471	SRR7776329	SINGLE
SRS3732480	SRR7776339	SINGLE
SRS3732492	SRR7776351	SINGLE
SRS3732497	SRR7776352	SINGLE
SRS3732522	SRR7776380	SINGLE
SRS3732538	SRR7776400	SINGLE
SRS3732565	SRR7776428	SINGLE
SRS3732595	SRR7776456	SINGLE
SRS3732789	SRR7776478	SINGLE
SRS3732618	SRR7776479	SINGLE
SRS3732625	SRR7776486	SINGLE
SRS3732634	SRR7776494	SINGLE
SRS3732646	SRR7776507	SINGLE
SRS3732655	SRR7776517	SINGLE
SRS3732674	SRR7776533	SINGLE
SRS3732698	SRR7776557	SINGLE
SRS3732706	SRR7776566	SINGLE
SRS3732716	SRR7776576	SINGLE
SRS3732719	SRR7776577	SINGLE
SRS3732722	SRR7776580	SINGLE
SRS3732725	SRR7776584	SINGLE
SRS3732727	SRR7776586	SINGLE
SRS3732770	SRR7776628	SINGLE
SRS3732775	SRR7776635	SINGLE
SRS3732787	SRR7776646	SINGLE
SRS3732791	SRR7776649	SINGLE
SRS3732816	SRR7776676	SINGLE
SRS3732845	SRR7776705	SINGLE
SRS3732849	SRR7776709	SINGLE
SRS3732850	SRR7776710	SINGLE
SRS3732858	SRR7776718	SINGLE
SRS3732863	SRR7776723	SINGLE
SRS3732867	SRR7776730	SINGLE
SRS3732877	SRR7776735	SINGLE
SRS3732913	SRR7776774	SINGLE
SRS3732920	SRR7776780	SINGLE
SRS3732940	SRR7776801	SINGLE
SRS3732943	SRR7776804	SINGLE
SRS3770542	SRR7825699	PAIRED
SRS3770548	SRR7825706	PAIRED
SRS3770552	SRR7825711	PAIRED
SRS3770579	SRR7825737	PAIRED
SRS3770589	SRR7825746	PAIRED
SRS4715841	SRR9004402	PAIRED
SRS4715841	SRR9004399	PAIRED
SRS4715841	SRR9004400	PAIRED
SRS4715841	SRR9004397	PAIRED
SRS4715841	SRR9004392	PAIRED
SRS4715841	SRR9004389	PAIRED
SRS4715841	SRR9004396	PAIRED
SRS4715841	SRR9004398	PAIRED
SRS4715841	SRR9004390	PAIRED
SRS4715841	SRR9004403	PAIRED
SRS4715841	SRR9004393	PAIRED
SRS4715841	SRR9004394	PAIRED
SRS4715841	SRR9004395	PAIRED
SRS4715841	SRR9004404	PAIRED
SRS4715841	SRR9004401	PAIRED
SRS4715841	SRR9004391	PAIRED
SRS1397507	SRR3375521	SINGLE
SRS1397504	SRR3375525	SINGLE
SRS1397490	SRR3375539	SINGLE
SRS1397486	SRR3375543	SINGLE
SRS1397465	SRR3375564	SINGLE
SRS1397460	SRR3375569	SINGLE
SRS1397457	SRR3375571	SINGLE
SRS1397455	SRR3375574	SINGLE
SRS1397454	SRR3375575	SINGLE
SRS1397441	SRR3375588	SINGLE
SRS1397436	SRR3375593	SINGLE
SRS1397434	SRR3375594	SINGLE
SRS1397420	SRR3375609	SINGLE
SRS1397409	SRR3375619	SINGLE
SRS1397410	SRR3375620	SINGLE
SRS1397394	SRR3375635	SINGLE
SRS1397387	SRR3375642	SINGLE
SRS1397310	SRR3375774	SINGLE
SRS1397303	SRR3375788	SINGLE
SRS1397301	SRR3375792	SINGLE
SRS1397270	SRR3375823	SINGLE
SRS1397260	SRR3375833	SINGLE
SRS1397259	SRR3375834	SINGLE
SRS1397245	SRR3375848	SINGLE
SRS1397239	SRR3375854	SINGLE
SRS1467259	SRR3587529	SINGLE
SRS1467263	SRR3587533	SINGLE
SRS1467264	SRR3587534	SINGLE
SRS1467274	SRR3587544	SINGLE
SRS1467284	SRR3587554	SINGLE
SRS1467290	SRR3587559	SINGLE
SRS1467291	SRR3587560	SINGLE
SRS1467299	SRR3587568	SINGLE
SRS1467302	SRR3587571	SINGLE
SRS1467304	SRR3587573	SINGLE
SRS1467325	SRR3587594	SINGLE
SRS1467337	SRR3587606	SINGLE
SRS1467340	SRR3587609	SINGLE
SRS1467354	SRR3587621	SINGLE
SRS1467356	SRR3587625	SINGLE
SRS1467358	SRR3587627	SINGLE
SRS1467365	SRR3587634	SINGLE
SRS1467376	SRR3587645	SINGLE
SRS1467379	SRR3587648	SINGLE
SRS1467392	SRR3587652	SINGLE
SRS1467391	SRR3587660	SINGLE
SRS1467394	SRR3587663	SINGLE
SRS1467403	SRR3587671	SINGLE
SRS1467419	SRR3587689	SINGLE
SRS1467424	SRR3587693	SINGLE
SRS1467427	SRR3587696	SINGLE
SRS1467441	SRR3587710	SINGLE
SRS1467471	SRR3587739	SINGLE
SRS1467478	SRR3587748	SINGLE
SRS1467497	SRR3587765	SINGLE
SRS1467498	SRR3587767	SINGLE
SRS1467504	SRR3587773	SINGLE
SRS1467509	SRR3587778	SINGLE
SRS1467511	SRR3587779	SINGLE
SRS1467532	SRR3587801	SINGLE
SRS1467533	SRR3587802	SINGLE
SRS1467536	SRR3587805	SINGLE
SRS1467553	SRR3587822	SINGLE
SRS1467560	SRR3587829	SINGLE
SRS1467581	SRR3587850	SINGLE
SRS1467600	SRR3587869	SINGLE
SRS1467601	SRR3587870	SINGLE
SRS1467613	SRR3587882	SINGLE
SRS2166273	SRR5508608	SINGLE
SRS2166280	SRR5508618	SINGLE
SRS2166287	SRR5508626	SINGLE
SRS2166291	SRR5508629	SINGLE
SRS2166312	SRR5508651	SINGLE
SRS2166336	SRR5508674	SINGLE
SRS2166338	SRR5508676	SINGLE
SRS2166341	SRR5508679	SINGLE
SRS2166342	SRR5508682	SINGLE
SRS2166352	SRR5508692	SINGLE
SRS2166374	SRR5508693	SINGLE
SRS2166357	SRR5508698	SINGLE
SRS2166362	SRR5508702	SINGLE
SRS2166363	SRR5508703	SINGLE
SRS2166393	SRR5508730	SINGLE
SRS2166425	SRR5508764	SINGLE
SRS2166441	SRR5508779	SINGLE
SRS2166449	SRR5508788	SINGLE
SRS2166499	SRR5508802	SINGLE
SRS2166462	SRR5508804	SINGLE
SRS2166466	SRR5508805	SINGLE
SRS2166496	SRR5508836	SINGLE
SRS2166498	SRR5508837	SINGLE
SRS2166502	SRR5508841	SINGLE
SRS2166506	SRR5508843	SINGLE
SRS2166661	SRR5508854	SINGLE
SRS2166674	SRR5508869	SINGLE
SRS2166681	SRR5508876	SINGLE
SRS2166735	SRR5508878	SINGLE
SRS2166684	SRR5508879	SINGLE
SRS2166688	SRR5508880	SINGLE
SRS2166705	SRR5508902	SINGLE
SRS2166715	SRR5508909	SINGLE
SRS2166716	SRR5508912	SINGLE
SRS2166722	SRR5508914	SINGLE
SRS2166726	SRR5508921	SINGLE
SRS2166731	SRR5508928	SINGLE
SRS2166765	SRR5508961	SINGLE
SRS2166778	SRR5508971	SINGLE
SRS2166783	SRR5508976	SINGLE
SRS2166786	SRR5508981	SINGLE
SRS2166788	SRR5508983	SINGLE
SRS2166797	SRR5508994	SINGLE
SRS2166799	SRR5508996	SINGLE
SRS2166817	SRR5509015	SINGLE
SRS2166829	SRR5509022	SINGLE
SRS2166826	SRR5509023	SINGLE
SRS2166831	SRR5509027	SINGLE
SRS2166835	SRR5509030	SINGLE
SRS2166845	SRR5509039	SINGLE
SRS2166849	SRR5509041	SINGLE
SRS2166860	SRR5509053	SINGLE
SRS2166871	SRR5509067	SINGLE
SRS2166875	SRR5509069	SINGLE
SRS2166880	SRR5509074	SINGLE
SRS2166885	SRR5509081	SINGLE
SRS2166904	SRR5509100	SINGLE
SRS2166913	SRR5509110	SINGLE
SRS2166920	SRR5509113	SINGLE
SRS2166930	SRR5509125	SINGLE
SRS2166937	SRR5509131	SINGLE
SRS2166938	SRR5509135	SINGLE
SRS2166945	SRR5509141	SINGLE
SRS3106651	SRR6916799	PAIRED
SRS3106666	SRR6916814	PAIRED
SRS3106668	SRR6916816	PAIRED
SRS3106679	SRR6916827	PAIRED
SRS3106682	SRR6916830	PAIRED
SRS3106704	SRR6916852	PAIRED
SRS3106709	SRR6916857	PAIRED
SRS3106715	SRR6916863	PAIRED
SRS3371550	SRR7254614	SINGLE
SRS3384791	SRR7269505	PAIRED
SRS3669091	SRR7692547	PAIRED
SRS3669090	SRR7692549	PAIRED
SRS3674974	SRR7699770	PAIRED
SRS3674975	SRR7699772	PAIRED
SRS3674985	SRR7699782	PAIRED
SRS3674994	SRR7699791	PAIRED
SRS3674999	SRR7699794	PAIRED
SRS3674998	SRR7699795	PAIRED
SRS3675008	SRR7699804	PAIRED
SRS3675010	SRR7699806	PAIRED
SRS3675020	SRR7699816	PAIRED
SRS3675031	SRR7699828	PAIRED
SRS3675038	SRR7699834	PAIRED
SRS3675045	SRR7699840	PAIRED
SRS3675055	SRR7699851	PAIRED
SRS3675064	SRR7699859	PAIRED
SRS3675086	SRR7699883	PAIRED
SRS3675087	SRR7699884	PAIRED
SRS3675105	SRR7699903	PAIRED
SRS3675130	SRR7699927	PAIRED
SRS3675129	SRR7699929	PAIRED
SRS3675151	SRR7699948	PAIRED
SRS3675157	SRR7699953	PAIRED
SRS3675169	SRR7699965	PAIRED
SRS3675172	SRR7699966	PAIRED
SRS3675173	SRR7699968	PAIRED
SRS3675174	SRR7699971	PAIRED
SRS3675196	SRR7699994	PAIRED
SRS3675208	SRR7700001	PAIRED
SRS3675209	SRR7700004	PAIRED
SRS3675218	SRR7700010	PAIRED
SRS3675244	SRR7700037	PAIRED
SRS3675264	SRR7700058	PAIRED
SRS3675265	SRR7700060	PAIRED
SRS3675318	SRR7700117	PAIRED
SRS3675320	SRR7700118	PAIRED
SRS3675354	SRR7700148	PAIRED
SRS3675366	SRR7700162	PAIRED
SRS3675372	SRR7700170	PAIRED
SRS3675376	SRR7700173	PAIRED
SRS3675383	SRR7700179	PAIRED
SRS3675387	SRR7700184	PAIRED
SRS3675392	SRR7700189	PAIRED
SRS3675404	SRR7700200	PAIRED
SRS3675407	SRR7700202	PAIRED
SRS3675411	SRR7700208	PAIRED
SRS3675420	SRR7700217	PAIRED
SRS3675433	SRR7700231	PAIRED
SRS3675444	SRR7700241	PAIRED
SRS3675464	SRR7700260	PAIRED
SRS3675485	SRR7700282	PAIRED
SRS3675496	SRR7700290	PAIRED
SRS3675507	SRR7700302	PAIRED
SRS3675512	SRR7700308	PAIRED
SRS3675525	SRR7700323	PAIRED
SRS3675529	SRR7700329	PAIRED
SRS3675534	SRR7700332	PAIRED
SRS3675541	SRR7700338	PAIRED
SRS3675565	SRR7700364	PAIRED
SRS3675583	SRR7700382	PAIRED
SRS3675614	SRR7700414	PAIRED
SRS3675628	SRR7700426	PAIRED
SRS3675627	SRR7700429	PAIRED
SRS3675648	SRR7700448	PAIRED
SRS3675656	SRR7700456	PAIRED
SRS3675673	SRR7700472	PAIRED
SRS3675674	SRR7700474	PAIRED
SRS3675682	SRR7700481	PAIRED
SRS3675702	SRR7700501	PAIRED
SRS3675709	SRR7700508	PAIRED
SRS3675755	SRR7700551	PAIRED
SRS3675758	SRR7700555	PAIRED
SRS3675757	SRR7700559	PAIRED
SRS3675785	SRR7700583	PAIRED
SRS3675797	SRR7700594	PAIRED
SRS3675799	SRR7700597	PAIRED
SRS3675804	SRR7700599	PAIRED
SRS3675810	SRR7700608	PAIRED
SRS3675811	SRR7700609	PAIRED
SRS3675813	SRR7700610	PAIRED
SRS3675814	SRR7700612	PAIRED
SRS3675844	SRR7700642	PAIRED
SRS3698225	SRR7733536	PAIRED
SRS3729731	SRR7773417	SINGLE
SRS3731640	SRR7775498	SINGLE
SRS3731646	SRR7775505	SINGLE
SRS3731648	SRR7775506	SINGLE
SRS3731653	SRR7775510	SINGLE
SRS3731654	SRR7775512	SINGLE
SRS3731656	SRR7775514	SINGLE
SRS3731661	SRR7775519	SINGLE
SRS3731662	SRR7775520	SINGLE
SRS3731666	SRR7775524	SINGLE
SRS3731671	SRR7775529	SINGLE
SRS3731687	SRR7775543	SINGLE
SRS3731695	SRR7775554	SINGLE
SRS3731697	SRR7775555	SINGLE
SRS3731710	SRR7775567	SINGLE
SRS3731715	SRR7775574	SINGLE
SRS3731720	SRR7775578	SINGLE
SRS3731721	SRR7775580	SINGLE
SRS3731723	SRR7775581	SINGLE
SRS3731729	SRR7775587	SINGLE
SRS3731731	SRR7775589	SINGLE
SRS3731739	SRR7775597	SINGLE
SRS3731745	SRR7775603	SINGLE
SRS3731746	SRR7775604	SINGLE
SRS3731758	SRR7775616	SINGLE
SRS3731770	SRR7775628	SINGLE
SRS3731775	SRR7775634	SINGLE
SRS3731778	SRR7775636	SINGLE
SRS3731780	SRR7775638	SINGLE
SRS3731783	SRR7775643	SINGLE
SRS3731798	SRR7775656	SINGLE
SRS3731803	SRR7775661	SINGLE
SRS3731805	SRR7775663	SINGLE
SRS3731808	SRR7775666	SINGLE
SRS3731813	SRR7775671	SINGLE
SRS3731824	SRR7775681	SINGLE
SRS3731838	SRR7775696	SINGLE
SRS3731853	SRR7775710	SINGLE
SRS3731873	SRR7775731	SINGLE
SRS3731880	SRR7775737	SINGLE
SRS3731901	SRR7775759	SINGLE
SRS3731911	SRR7775769	SINGLE
SRS3731919	SRR7775777	SINGLE
SRS3731939	SRR7775799	SINGLE
SRS3731948	SRR7775807	SINGLE
SRS3731953	SRR7775812	SINGLE
SRS3731968	SRR7775827	SINGLE
SRS3731969	SRR7775828	SINGLE
SRS3731975	SRR7775834	SINGLE
SRS3732004	SRR7775863	SINGLE
SRS3732076	SRR7775872	SINGLE
SRS3732029	SRR7775889	SINGLE
SRS3732035	SRR7775896	SINGLE
SRS3732052	SRR7775909	SINGLE
SRS3732057	SRR7775917	SINGLE
SRS3732092	SRR7775950	SINGLE
SRS3732117	SRR7775974	SINGLE
SRS3732122	SRR7775979	SINGLE
SRS3732124	SRR7775982	SINGLE
SRS3732127	SRR7775986	SINGLE
SRS3732128	SRR7775988	SINGLE
SRS3732147	SRR7776006	SINGLE
SRS3732156	SRR7776016	SINGLE
SRS3732163	SRR7776022	SINGLE
SRS3732173	SRR7776034	SINGLE
SRS3732186	SRR7776045	SINGLE
SRS3732189	SRR7776047	SINGLE
SRS3732193	SRR7776052	SINGLE
SRS3732211	SRR7776067	SINGLE
SRS3732212	SRR7776069	SINGLE
SRS3732220	SRR7776078	SINGLE
SRS3732218	SRR7776080	SINGLE
SRS3732226	SRR7776088	SINGLE
SRS3732233	SRR7776091	SINGLE
SRS3732248	SRR7776108	SINGLE
SRS3732253	SRR7776113	SINGLE
SRS3732256	SRR7776116	SINGLE
SRS3732261	SRR7776120	SINGLE
SRS3732299	SRR7776159	SINGLE
SRS3732326	SRR7776186	SINGLE
SRS3732337	SRR7776198	SINGLE
SRS3732341	SRR7776201	SINGLE
