sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Donor	Organ	sex	Batch	biosample_title	retina_region	strain	batch
SRX11077088	SRR14742510	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Cornea	Cornea_72	Adult	Late	Cornea 72	Tissue	NA	72	SAMN19587387	72	Eye	NA	Cornea_72	Cornea72_scRNA-Seq	NA	NA	NA
SRX11077089	SRR14742511	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Cornea	Cornea_73	Adult	Late	Cornea 73	Tissue	NA	73	SAMN19587386	73	Eye	NA	Cornea_73	Cornea73_scRNA-Seq	NA	NA	NA
SRX11077090	SRR14742512	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Iris	Iris_73	Adult	Late	Iris 73	Tissue	NA	73	SAMN19587385	73	Eye	NA	Iris_73	Iris73_scRNA-Seq	NA	NA	NA
SRX11077091	SRR14742513	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Iris	Iris_74	Adult	Late	Iris 74	Tissue	NA	74	SAMN19587384	74	Eye	NA	Iris_74	Iris74_scRNA-Seq	NA	NA	NA
SRX8047145	SRR11470709	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Choroid	Choroid_75	Adult	Late	Choroid 75	Tissue	NA	75	SAMN14525765	75	Eye	NA	Choroid_75	Choroid75_scRNA-Seq	NA	NA	NA
SRX8047146	SRR11470710	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Cornea	Cornea_76	Adult	Late	Cornea 76	Tissue	NA	76	SAMN14525764	76	Eye	NA	Cornea_76	Cornea76_scRNA-Seq	NA	NA	NA
SRX8047147	SRR11470711	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	IrisMuscle	IrisMuscle_76	Adult	Late	IrisMuscle 76	Tissue	NA	76	SAMN14525763	76	Eye	NA	IrisMuscle_76	IrisMuscle76_scRNA-Seq	NA	NA	NA
SRX8047148	SRR11470712	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Sclera	Sclera_75	Adult	Late	Sclera 75	Tissue	NA	75	SAMN14525762	75	Eye	NA	Sclera_75	Sclera75_scRNA-Seq	NA	NA	NA
SRX8047149	SRR11470713	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	IrisPE	IrisPE_76	Adult	Late	IrisPE 76	Tissue	NA	76	SAMN14525761	76	Eye	NA	IrisPE_76	IrisPE76_scRNA-Seq	NA	NA	NA
SRX8047150	SRR11470714	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	IrisStroma	IrisStroma_76	Adult	Late	IrisStroma 76	Tissue	NA	76	SAMN14525760	76	Eye	NA	IrisStroma_76	IrisStroma76_scRNA-Seq	NA	NA	NA
SRX8047151	SRR11470715	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Retina	Retina_76	Adult	Late	Retina 76	Tissue	NA	76	SAMN14525759	76	Eye	NA	Retina_76	Retina76_scRNA-Seq	NA	NA	NA
SRX8047152	SRR11470716	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	RPE	RPE_76	Adult	Late	RPE 76	Tissue	NA	76	SAMN14525758	76	Eye	NA	RPE_76	RPE76_scRNA-Seq	NA	NA	NA
SRX8047153	SRR11470717	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Retina	Retina_78	Adult	Late	Retina 78	Tissue	NA	78	SAMN14525757	78	Eye	NA	Retina_78	Retina78_scRNA-Seq	NA	NA	NA
SRX8047154	SRR11470718	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	RPE	RPE_78	Adult	Late	RPE 78	Tissue	NA	78	SAMN14525756	78	Eye	NA	RPE_78	RPE78_scRNA-Seq	NA	NA	NA
SRX8047159	SRR11470723	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	IrisPE	IrisPE_75	Adult	Late	IrisPE 75	Tissue	NA	75	SAMN14525751	75	Eye	NA	IrisPE_75	IrisPE75_scRNA-Seq	NA	NA	NA
SRX8047160	SRR11470724	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	IrisStroma	IrisStroma_75	Adult	Late	IrisStroma 75	Tissue	NA	75	SAMN14525750	75	Eye	NA	IrisStroma_75	IrisStroma75_scRNA-Seq	NA	NA	NA
SRX8047161	SRR11470725	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Retina	Retina_74	Adult	Late	Retina 74	Tissue	NA	74	SAMN14525749	74	Eye	NA	Retina_74	Retina74_scRNA-Seq	NA	NA	NA
SRX8047162	SRR11470726	PAIRED	Homo sapiens	10xv2	Yes	SRP255012	Retina	Retina_75	Adult	Late	Retina 75	Tissue	NA	75	SAMN14525748	75	Eye	NA	Retina_75	Retina75_scRNA-Seq	NA	NA	NA
SRX14336032	SRR18188993	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336031	SRR18188994	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336030	SRR18188995	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336029	SRR18188996	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336028	SRR18188997	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336027	SRR18188998	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336026	SRR18188999	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14336025	SRR18189000	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336024	SRR18189001	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336023	SRR18189002	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336022	SRR18189003	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336021	SRR18189004	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336020	SRR18189005	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336019	SRR18189006	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336018	SRR18189007	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336017	SRR18189008	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336016	SRR18189009	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336015	SRR18189010	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14336014	SRR18189011	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336013	SRR18189012	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336012	SRR18189013	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336011	SRR18189014	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336010	SRR18189015	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336009	SRR18189016	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336008	SRR18189017	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336007	SRR18189018	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087901	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350432	NA	Eye	male	1087901	Human sample from Homo sapiens	NA	NA	NA
SRX14336006	SRR18189019	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14336005	SRR18189020	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14336004	SRR18189021	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14336003	SRR18189022	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14336002	SRR18189023	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14336001	SRR18189024	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14336000	SRR18189025	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335999	SRR18189026	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335998	SRR18189027	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335997	SRR18189028	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335996	SRR18189029	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335995	SRR18189030	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335994	SRR18189031	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335993	SRR18189032	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335992	SRR18189033	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335991	SRR18189034	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335990	SRR18189035	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335989	SRR18189036	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335988	SRR18189037	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335987	SRR18189038	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335986	SRR18189039	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335985	SRR18189040	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335984	SRR18189041	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335983	SRR18189042	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335982	SRR18189043	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335981	SRR18189044	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335980	SRR18189045	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087900	19345	Late	healthy donor	Tissue	NA	NA	SAMN26350431	NA	Eye	female	1087900	Human sample from Homo sapiens	NA	NA	NA
SRX14335979	SRR18189046	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335978	SRR18189047	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335977	SRR18189048	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335976	SRR18189049	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335975	SRR18189050	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335974	SRR18189051	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335973	SRR18189052	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335972	SRR18189053	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335971	SRR18189054	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335970	SRR18189055	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335969	SRR18189056	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335968	SRR18189057	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335967	SRR18189058	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335966	SRR18189059	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335965	SRR18189060	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335964	SRR18189061	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335963	SRR18189062	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335962	SRR18189063	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335961	SRR18189064	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335960	SRR18189065	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335959	SRR18189066	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335958	SRR18189067	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335957	SRR18189068	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335956	SRR18189069	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335955	SRR18189070	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335954	SRR18189071	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087899	22995	Late	healthy donor	Tissue	NA	NA	SAMN26350430	NA	Eye	female	1087899	Human sample from Homo sapiens	NA	NA	NA
SRX14335953	SRR18189072	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335952	SRR18189073	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335951	SRR18189074	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335950	SRR18189075	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335949	SRR18189076	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335948	SRR18189077	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335947	SRR18189078	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335946	SRR18189079	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335945	SRR18189080	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335944	SRR18189081	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335943	SRR18189082	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335942	SRR18189083	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335941	SRR18189084	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335940	SRR18189085	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335939	SRR18189086	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087898	18980	Late	healthy donor	Tissue	NA	NA	SAMN26350429	NA	Eye	male	1087898	Human sample from Homo sapiens	NA	NA	NA
SRX14335938	SRR18189087	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335937	SRR18189088	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335936	SRR18189089	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
SRX14335935	SRR18189090	PAIRED	Homo sapiens	10xv2	Yes	SRP362101	Cornea	1087903	22630	Late	healthy donor	Tissue	NA	NA	SAMN26350434	NA	Eye	female	1087903	Human sample from Homo sapiens	NA	NA	NA
