sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote
SRS3044263	SRR6835871	PAIRED	Mus musculus	10xv2	YES	SRP131661	Trachea	3-M-7/8	90	Late	TabulaMuris
SRS3044262	SRR6835870	PAIRED	Mus musculus	10xv2	YES	SRP131661	Trachea	3-M-5/6	90	Late	TabulaMuris
SRS3044261	SRR6835869	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-M-7/8	90	Late	TabulaMuris
SRS3044260	SRR6835868	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-M-5/6	90	Late	TabulaMuris
SRS3044259	SRR6835867	PAIRED	Mus musculus	10xv2	YES	SRP131661	Limb_Muscle	3-F-57	90	Late	TabulaMuris
SRS3044258	SRR6835866	PAIRED	Mus musculus	10xv2	YES	SRP131661	Limb_Muscle	3-F-56	90	Late	TabulaMuris
SRS3044257	SRR6835865	PAIRED	Mus musculus	10xv2	YES	SRP131661	Mammary_Gland	3-F-57	90	Late	TabulaMuris
SRS3044256	SRR6835864	PAIRED	Mus musculus	10xv2	YES	SRP131661	Mammary_Gland	3-F-56	90	Late	TabulaMuris
SRS3044255	SRR6835863	PAIRED	Mus musculus	10xv2	YES	SRP131661	Thymus	3-F-56	90	Late	TabulaMuris
SRS3044254	SRR6835862	PAIRED	Mus musculus	10xv2	YES	SRP131661	Tongue	3-F-56	90	Late	TabulaMuris
SRS3044253	SRR6835861	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-F-57	90	Late	TabulaMuris
SRS3044252	SRR6835860	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-F-56	90	Late	TabulaMuris
SRS3044251	SRR6835859	PAIRED	Mus musculus	10xv2	YES	SRP131661	Bladder	3-F-56	90	Late	TabulaMuris
SRS3044250	SRR6835858	PAIRED	Mus musculus	10xv2	YES	SRP131661	Spleen	3-F-56	90	Late	TabulaMuris
SRS3044249	SRR6835857	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-F-57	90	Late	TabulaMuris
SRS3044248	SRR6835856	PAIRED	Mus musculus	10xv2	YES	SRP131661	Heart_and_Aorta	3-F-56	90	Late	TabulaMuris
SRS3044247	SRR6835855	PAIRED	Mus musculus	10xv2	YES	SRP131661	Marrow	3-F-57	90	Late	TabulaMuris
SRS3044246	SRR6835854	PAIRED	Mus musculus	10xv2	YES	SRP131661	Marrow	3-F-56	90	Late	TabulaMuris
SRS3044245	SRR6835853	PAIRED	Mus musculus	10xv2	YES	SRP131661	Liver	3-F-57	90	Late	TabulaMuris
SRS3044244	SRR6835852	PAIRED	Mus musculus	10xv2	YES	SRP131661	Liver	3-F-56	90	Late	TabulaMuris
SRS3044243	SRR6835851	PAIRED	Mus musculus	10xv2	YES	SRP131661	Spleen	3-M-8	90	Late	TabulaMuris
SRS3044242	SRR6835850	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-M-9	90	Late	TabulaMuris
SRS3044241	SRR6835849	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-M-8	90	Late	TabulaMuris
SRS3044240	SRR6835848	PAIRED	Mus musculus	10xv2	YES	SRP131661	Bladder	3-M-9	90	Late	TabulaMuris
SRS3044239	SRR6835847	PAIRED	Mus musculus	10xv2	YES	SRP131661	Bladder	3-M-8	90	Late	TabulaMuris
SRS3044238	SRR6835846	PAIRED	Mus musculus	10xv2	YES	SRP131661	Liver	3-M-8/9	90	Late	TabulaMuris
SRS3044237	SRR6835845	PAIRED	Mus musculus	10xv2	YES	SRP131661	Tongue	3-M-9	90	Late	TabulaMuris
SRS3044236	SRR6835844	PAIRED	Mus musculus	10xv2	YES	SRP131661	Tongue	3-M-8	90	Late	TabulaMuris
SRS5281882	SRR9990688	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor7	NA	Late	Peripheral-12mm-cd31-enriched-donor7
SRS5281882	SRR9990687	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor7	NA	Late	Peripheral-12mm-cd31-enriched-donor7
SRS5281882	SRR9990689	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor7	NA	Late	Peripheral-12mm-cd31-enriched-donor7
SRS5281882	SRR9990690	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor7	NA	Late	Peripheral-12mm-cd31-enriched-donor7
SRS5281881	SRR9990683	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Peripheral-12mm-cd31-enriched-donor6
SRS5281881	SRR9990686	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Peripheral-12mm-cd31-enriched-donor6
SRS5281881	SRR9990684	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Peripheral-12mm-cd31-enriched-donor6
SRS5281881	SRR9990685	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Peripheral-12mm-cd31-enriched-donor6
SRS5281869	SRR9990634	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990631	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990647	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990629	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990650	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990646	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990632	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990640	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990638	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990636	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990641	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990649	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990628	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990648	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990635	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990642	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990633	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990644	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990645	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990630	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990639	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990643	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990637	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281869	SRR9990627	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Macula-8mm-rpe-cho-donor1
SRS5281877	SRR9990787	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Macula-12mm-cd31-enriched-donor6
SRS5281877	SRR9990789	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Macula-12mm-cd31-enriched-donor6
SRS5281877	SRR9990788	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Macula-12mm-cd31-enriched-donor6
SRS5281877	SRR9990790	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor6	NA	Late	Macula-12mm-cd31-enriched-donor6
SRS5281872	SRR9990714	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990711	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990725	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990718	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990708	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990730	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990720	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990717	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990723	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990726	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990727	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990728	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990716	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990721	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990719	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990713	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990715	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990709	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990710	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990722	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990712	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990729	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990724	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281872	SRR9990707	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor1	NA	Late	Peripheral-8mm-rpe-cho-donor1
SRS5281873	SRR9990753	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990751	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990752	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990745	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990735	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990740	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990734	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990736	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990741	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990731	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990733	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990737	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990754	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990747	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990739	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990750	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990738	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990746	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990742	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990743	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990732	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990749	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990744	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281873	SRR9990748	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Peripheral-8mm-rpe-cho-donor2
SRS5281870	SRR9990673	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990672	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990655	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990663	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990665	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990656	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990657	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990670	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990651	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990664	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990662	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990661	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990667	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990653	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990668	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990654	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990658	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990671	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990660	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990669	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990659	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990674	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990652	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281870	SRR9990666	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor2	NA	Late	Macula-8mm-rpe-cho-donor2
SRS5281874	SRR9990768	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990763	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990756	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990777	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990757	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990760	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990767	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990772	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990764	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990761	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990766	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990758	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990775	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990769	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990755	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990770	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990773	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990759	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990762	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990776	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990774	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990778	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990771	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281874	SRR9990765	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Peripheral-8mm-rpe-cho-donor3
SRS5281875	SRR9990782	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor4	NA	Late	Macula-12mm-cd31-enriched-donor4
SRS5281875	SRR9990779	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor4	NA	Late	Macula-12mm-cd31-enriched-donor4
SRS5281875	SRR9990780	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor4	NA	Late	Macula-12mm-cd31-enriched-donor4
SRS5281875	SRR9990781	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor4	NA	Late	Macula-12mm-cd31-enriched-donor4
SRS5281876	SRR9990783	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor5	NA	Late	Macula-12mm-cd31-enriched-donor5
SRS5281876	SRR9990784	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor5	NA	Late	Macula-12mm-cd31-enriched-donor5
SRS5281876	SRR9990786	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor5	NA	Late	Macula-12mm-cd31-enriched-donor5
SRS5281876	SRR9990785	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor5	NA	Late	Macula-12mm-cd31-enriched-donor5
SRS5281871	SRR9990701	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990697	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990706	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990680	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990694	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990682	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990698	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990693	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990676	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990705	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990691	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990692	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990704	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990703	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990699	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990677	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990681	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
SRS5281871	SRR9990700	PAIRED	Homo sapiens	10xv3	YES	SRP218652	RPE	donor3	NA	Late	Macula-8mm-rpe-cho-donor3
